steamId,name,Tags,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,Review Count,Review Score,Steam Followers
2477090,Mosa Lina,Local Co-Op,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Puzzle Platformer,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Puzzle,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Adventure,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Simulation,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Platformer,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Immersive Sim,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Local Multiplayer,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Roguelike,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Sandbox,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Side Scroller,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,2D,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Minimalist,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Singleplayer,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Colorful,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
2477090,Mosa Lina,Pixel Graphics,10/17/2023,"57,327",$7.99,"$241,745",4,Indie,"[""Stuffed Wombat""]","[""Stuffed Wombat"",""Silkersoft"",""Lukke"",""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,"1,707",95,"2,778"
3503440,Astro Prospector,Strategy,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Bullet Hell,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Clicker,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Arcade,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Roguelite,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Casual,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Simulation,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
