steamId,name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,review_count,review_score,followers,tags
2401970,Ace Attorney Investigations Collection,2024-09-05,128651,39.99,3846517.0,28,AAA,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']",https://store.steampowered.com/app/2401970,3352,97,17662,"['2D', 'Adventure', 'Anime', 'Choose Your Own Adventure', 'Comedy', 'Crime', 'Detective', 'Funny', 'Great Soundtrack', 'Investigation', 'Mystery', 'Pixel Graphics', 'Point & Click', 'Puzzle', 'Singleplayer', 'Story Rich', 'Text-Based', 'Visual Novel']"
2403290,Boyhood's End,2024-09-05,13279,10.99,117842.0,4,Indie,"['WSS playground', 'Alliance Arts']","['WSS playground', 'buriki clock']",https://store.steampowered.com/app/2403290,659,85,4386,"['2D', 'Adventure', 'Anime', 'Cute', 'Early Access', 'Emotional', 'Exploration', 'Futuristic', 'Horror', 'Interactive Fiction', 'LGBTQ+', 'Pixel Graphics', 'Psychological Horror', 'RPGMaker', 'Retro', 'Singleplayer', 'Story Rich', 'Top-Down']"
2404370,YOHANE THE PARHELION -BLAZE in the DEEPBLUE-,2023-11-16,18617,29.99,409759.0,7,Indie,"['INTI CREATES CO., LTD.']","['INTI CREATES CO., LTD.']",https://store.steampowered.com/app/2404370,941,93,6651,"['2D', 'Action', 'Action Roguelike', 'Adventure', 'Anime', 'Cute', 'Fantasy', 'Female Protagonist', 'Hack and Slash', 'Metroidvania', 'Pixel Graphics', 'Singleplayer']"
2409360,Pixel Cafe,2023-11-30,20750,12.99,68864.0,8,Indie,['Baltoro Games'],['Baltoro Games'],https://store.steampowered.com/app/2409360,632,92,2038,"['2D', 'Arcade', 'Capitalism', 'Casual', 'Choices Matter', 'Colorful', 'Controller', 'Cooking', 'Crafting', 'Female Protagonist', 'Life Sim', 'Linear', 'Management', 'Narration', 'Pixel Graphics', 'Relaxing', 'Simulation', 'Story Rich', 'Time Management', 'Visual Novel']"
2417850,Yolk Heroes: A Long Tamago,2024-05-20,17147,7.99,107882.0,33,Indie,"['14 Hours Productions', 'Astrolabe Games']",['14 Hours Productions'],https://store.steampowered.com/app/2417850,729,92,3089,"[""1990's"", '2D', 'Adventure', 'Casual', 'Character Customization', 'Class-Based', 'Combat', 'Cute', 'Fantasy', 'Idler', 'JRPG', 'Life Sim', 'Old School', 'Parody', 'Pixel Graphics', 'PvE', 'RPG', 'Relaxing', 'Retro', 'Time Management']"
2420510,HoloCure - Save the Fans!,2023-08-16,947044,0.0,0.0,29,Hobbyist,['KayAnimate'],['KayAnimate'],https://store.steampowered.com/app/2420510,38540,99,34382,"['2D', 'Action', 'Action Roguelike', 'Anime', 'Arcade', 'Bullet Hell', 'Casual', 'Colorful', 'Comedy', 'Cute', 'Fantasy', 'Farming', 'Female Protagonist', 'Fishing', 'Free to Play', 'Pixel Graphics', 'Roguelite', 'Score Attack', 'Singleplayer', 'Top-Down Shooter']"
2421370,Cryptis,2024-01-11,23136,0.0,0.0,1,Hobbyist,"['Dobrx', 'Split Signal']",['Dobrx'],https://store.steampowered.com/app/2421370,664,96,614,"['3D', 'Action', 'Arena Shooter', 'Boomer Shooter', 'Bullet Hell', 'Colorful', 'Controller', 'Dark Fantasy', 'Demons', 'FPS', 'First-Person', 'Gothic', 'Hack and Slash', 'Linear', 'Pixel Graphics', 'PvE', 'Realistic', ""Shoot 'Em Up"", 'Shooter', 'Souls-like']"
2429350,myPOPGOES,2024-08-01,15616,4.99,57001.0,3,Indie,['Clickteam'],['Kane Carter'],https://store.steampowered.com/app/2429350,730,85,1928,"['2D', 'Casual', 'Cute', 'Fishing', 'Hand-drawn', 'Horror', 'Lore-Rich', 'Management', 'Minigames', 'Multiple Endings', 'Parody', 'Pixel Graphics', 'Point & Click', 'Puzzle', 'Resource Management', 'Simulation', 'Singleplayer', 'Story Rich', 'Surreal', 'Survival']"
2434340,BLACK BOX LSS - The Shining Immortal,2023-10-19,53252,0.0,0.0,1,Hobbyist,['Fif'],['Fif'],https://store.steampowered.com/app/2434340,1763,99,2255,"['2D', 'Anime', 'Casual', 'Crime', 'Dating Sim', 'Drama', 'Emotional', 'Fantasy', 'Free to Play', 'Futuristic', 'Indie', 'Linear', 'Mystery', 'Pixel Graphics', 'Psychological Horror', 'RPG', 'Romance', 'Singleplayer', 'Story Rich', 'Visual Novel']"
2435090,Talented,2023-10-30,118843,3.99,373717.0,9,Indie,['TurtleFox Games'],['TurtleFox Games'],https://store.steampowered.com/app/2435090,1229,92,3133,"['2D', 'Action', 'Action Roguelike', 'Arcade', 'Character Customization', 'Clicker', 'Combat', 'Controller', 'Cute', 'Great Soundtrack', 'Indie', 'Pixel Graphics', 'Programming', 'Retro', 'Roguelike', 'Roguelite', ""Shoot 'Em Up"", 'Singleplayer', 'Stylized', 'Top-Down']"
2436940,Sephiria,2025-04-03,147901,14.99,1819370.0,21,Indie,['TEAM HORAY'],['TEAM HORAY'],https://store.steampowered.com/app/2436940,2901,92,8794,"['2D', 'Action', 'Action Roguelike', 'Combat', 'Controller', 'Cute', 'Early Access', 'Fantasy', 'Indie', 'Inventory Management', 'Isometric', 'Multiplayer', 'Pixel Graphics', 'Procedural Generation', 'PvE', 'Roguelike', 'Roguelite', 'Singleplayer', 'Top-Down']"
2440380,Megaloot,2024-08-30,191023,9.99,1582983.0,16,Indie,"['Ravenage Games', 'INSTINCT3']",['axilirate'],https://store.steampowered.com/app/2440380,3749,73,10319,"['2D', 'Casual', 'Character Customization', 'Deckbuilding', 'Dungeon Crawler', 'Fantasy', 'Inventory Management', 'Loot', 'Medieval', 'Minimalist', 'Pixel Graphics', 'RPG', 'Replay Value', 'Roguelike', 'Roguelite', 'Singleplayer', 'Strategy', 'Strategy RPG', 'Turn-Based Combat', 'Turn-Based Strategy']"
2441270,Kill The Crows,2023-08-20,78213,4.99,281594.0,3,Indie,"['5minlab Corp.', 'KRAFTON, Inc.']",['5minlab Corp.'],https://store.steampowered.com/app/2441270,2400,95,6586,"['2D', 'Action', 'Arcade', 'Arena Shooter', 'Atmospheric', ""Beat 'em up"", 'Bullet Time', 'Dark Fantasy', 'Female Protagonist', 'Indie', 'Pixel Graphics', 'Post-apocalyptic', 'Score Attack', ""Shoot 'Em Up"", 'Shooter', 'Singleplayer', 'Top-Down', 'Top-Down Shooter', 'Twin Stick Shooter', 'Western']"
2445340,Love n Life: Lucky Teacher,2024-01-31,42920,8.99,209995.0,7,Indie,['Reborn Entertainment'],['Reborn Entertainment'],https://store.steampowered.com/app/2445340,1121,91,11077,"['2D', 'Anime', 'Casual', 'Cute', 'Dating Sim', 'FPS', 'Hentai', 'JRPG', 'Life Sim', 'Mature', 'NSFW', 'Nudity', 'Pixel Graphics', 'Psychological Horror', 'RPG', 'Romance', 'Sexual Content', 'Simulation', 'Singleplayer', 'Visual Novel']"
2445990,Bloomtown: A Different Story,2024-09-24,43871,24.99,674295.0,9,Indie,['Twin Sails Interactive'],"['Lazy Bear Games', 'Different Sense Games']",https://store.steampowered.com/app/2445990,1117,86,16906,"['Adventure', 'Atmospheric', 'Comedy', 'Cooking', 'Crafting', 'Creature Collector', 'Cute', 'Exploration', 'Female Protagonist', 'Isometric', 'JRPG', 'Life Sim', 'Lore-Rich', 'Party-Based RPG', 'Pixel Graphics', 'RPG', 'Singleplayer', 'Story Rich', 'Time Management', 'Turn-Based Tactics']"
2446600,Dark Deity 2,2025-03-24,31288,24.99,591769.0,16,Indie,"['indie.io', 'Smilegate']",['Sword & Axe LLC'],https://store.steampowered.com/app/2446600,1167,94,13949,"['2D', 'Adventure', 'Anime', 'Character Customization', 'Fantasy', 'Isometric', 'JRPG', 'Lore-Rich', 'Magic', 'Party-Based RPG', 'Pixel Graphics', 'RPG', 'Retro', 'Strategy', 'Strategy RPG', 'Tactical', 'Tactical RPG', 'Top-Down', 'Turn-Based Strategy', 'Turn-Based Tactics']"
2448930,Starstruck Vagabond,2024-05-24,10866,24.99,201866.0,16,Indie,"[""Ben 'Yahtzee' Croshaw"", 'Second Wind']","[""Ben 'Yahtzee' Croshaw""]",https://store.steampowered.com/app/2448930,528,88,3405,"['2D', 'Adventure', 'Character Customization', 'Choices Matter', 'Collectathon', 'Exploration', 'Indie', 'Life Sim', 'Multiple Endings', 'Pixel Graphics', 'Resource Management', 'Satire', 'Sci-fi', 'Singleplayer', 'Story Rich']"
2448980,Ticy Adventure Club : Queen of the Spring,2025-04-30,15424,0.0,0.0,2,Hobbyist,['YEZHI'],['YEZHI'],https://store.steampowered.com/app/2448980,542,99,288,"['2D', 'Adventure', 'Anime', 'Colorful', 'Cute', 'Detective', 'Drama', 'Female Protagonist', 'Free to Play', 'Horror', 'Indie', 'Interactive Fiction', 'JRPG', 'Pixel Graphics', 'Psychological Horror', 'Puzzle', 'RPG', 'Singleplayer', 'Story Rich', 'Visual Novel']"
2453360,Cluckmech Oasis,2024-05-09,231478,9.99,1470079.0,23,Indie,"['Mammorize', 'Flawless Gaming', 'Erabit']",['BlackLight'],https://store.steampowered.com/app/2453360,3250,88,7530,"['2D Platformer', 'Action', 'Building', 'Colorful', 'Combat', 'Cute', 'Funny', 'Perma Death', 'Pixel Graphics', 'Procedural Generation', 'Roguelike', 'Roguelite', 'Sci-fi', 'Shooter', 'Singleplayer', 'Strategy', 'Survival', 'Top-Down', 'Top-Down Shooter', 'Tower Defense']"
2454890,DEATH IN UNISON,2024-08-29,26860,8.99,213497.0,3,Indie,['Blank Dream Studios'],['Blank Dream Studios'],https://store.steampowered.com/app/2454890,536,97,1318,"['3D', 'Action', 'Action-Adventure', 'Atmospheric', 'Co-op', 'Dystopian', 'First-Person', 'Horror', 'Management', 'Mystery', 'Online Co-Op', 'Pixel Graphics', 'Post-apocalyptic', 'Psychological Horror', 'Puzzle', 'PvE', 'Retro', 'Stylized', 'Survival', 'Survival Horror']"
2458210,Tamer Vale,2023-08-31,35150,14.99,502082.0,13,Indie,['PixelBee'],"['Gigi', 'Karne']",https://store.steampowered.com/app/2458210,647,83,15735,"['2D', 'Card Battler', 'Card Game', 'Choices Matter', 'Combat', 'Deckbuilding', 'Fantasy', 'Female Protagonist', 'Hentai', 'Mature', 'NSFW', 'Nudity', 'Pixel Graphics', 'Roguelite', 'Sexual Content', 'Singleplayer', 'Strategy', 'Turn-Based Combat', 'Turn-Based Strategy', 'Turn-Based Tactics']"
2464880,Terracards,2023-11-07,63513,8.99,483789.0,6,Indie,['Pixel Purrfect'],['Pixel Purrfect'],https://store.steampowered.com/app/2464880,716,85,3248,"['2D', 'Agriculture', 'Base Building', 'Building', 'Capitalism', 'Card Game', 'Casual', 'Colorful', 'Crafting', 'Deckbuilding', 'Early Access', 'Indie', 'Management', 'Pixel Graphics', 'Resource Management', 'Roguelike', 'Roguelike Deckbuilder', 'Roguelite', 'Strategy', 'Turn-Based Strategy']"
2470300,Hookah Haze,2024-07-10,23528,17.99,336588.0,5,Indie,['Aniplex Inc.'],['ACQUIRE Corp.'],https://store.steampowered.com/app/2470300,1112,93,9074,"['2D', 'Adventure', 'Anime', 'Atmospheric', 'Choose Your Own Adventure', 'Colorful', 'Cute', 'Dark Humor', 'Dating Sim', 'Drama', 'Emotional', 'Funny', 'Futuristic', 'Life Sim', 'Pixel Graphics', 'Point & Click', 'Psychedelic', 'Relaxing', 'Text-Based', 'Visual Novel']"
2477090,Mosa Lina,2023-10-17,57327,7.99,241745.0,4,Indie,['Stuffed Wombat'],"['Stuffed Wombat', 'Silkersoft', 'Lukke', ""Rollin'Barrel""]",https://store.steampowered.com/app/2477090,1707,95,2778,"['2D', '2D Platformer', 'Adventure', 'Co-op', 'Colorful', 'Immersive Sim', 'Local Co-Op', 'Local Multiplayer', 'Minimalist', 'Multiplayer', 'Online Co-Op', 'Pixel Graphics', 'Platformer', 'Puzzle', 'Puzzle Platformer', 'Roguelike', 'Sandbox', 'Side Scroller', 'Simulation', 'Singleplayer']"
2479320,Pesticide Not Required,2024-03-18,43448,6.5,233389.0,7,Indie,"['Jampacked Games', 'Gamersky Games']",['Jampacked Games'],https://store.steampowered.com/app/2479320,823,94,3169,"['2D', 'Action', 'Action RPG', 'Action Roguelike', 'Arcade', 'Arena Shooter', 'Bullet Hell', 'Casual', 'Controller', 'Farming Sim', 'Pixel Graphics', 'RPG', 'Roguelike', 'Roguelite', 'Score Attack', ""Shoot 'Em Up"", 'Singleplayer', 'Top-Down', 'Top-Down Shooter', 'Twin Stick Shooter']"
